x_geos,y_geos,RRQPE,lat,lon
-2956927.5,4542105.0,6.307040666695684,55.285827,-144.723
-2964943.25,4536093.0,5.9499519863165915,55.143205,-144.526211
-2968951.5,4534089.0,8.753250729292631,55.129603,-144.725314
-2970955.5,4532085.0,7.193658287636936,55.065952,-144.532464
-2972959.5,4530080.5,5.241878705564886,55.003604,-144.349205
-2976967.75,4528077.0,7.02121802745387,54.989314,-144.542158
-2978971.75,4526073.0,6.126970306504518,54.927444,-144.361686
-2982979.5,4524069.0,8.048229488544166,54.913266,-144.555119
-2986987.75,4522065.0,7.87731524836272,54.90008,-144.756077
-2984983.5,4522065.0,7.02121802745387,54.851824,-144.377125
-2988991.75,4520061.0,8.048229488544166,54.837821,-144.571465
-2986987.75,4520061.0,5.589811265934259,54.791507,-144.207326
-2992999.75,4518057.0,8.387005928903818,54.824796,-144.773233
-2990995.75,4518057.0,8.387005928903818,54.776782,-144.39578
-2988991.75,4518057.0,5.412792945746332,54.732196,-144.044794
-2995003.75,4516053.0,8.048229488544166,54.762949,-144.590991
-2992999.75,4516053.0,7.02121802745387,54.716837,-144.228046
-2997007.5,4514049.0,8.048229488544166,54.702287,-144.417415
-2995003.75,4514049.0,6.126970306504518,54.657878,-144.067457
-1780569.12,4514049.0,5.319705725647509,50.420908,-103.399773
-3001015.75,4512045.0,8.048229488544166,54.688648,-144.613692
-2999011.75,4512045.0,8.048229488544166,54.642705,-144.2517
-2997007.5,4512045.0,5.766829586122185,54.599813,-143.913291
-3003019.75,4510041.0,8.219143728725612,54.628354,-144.442167
-3001015.75,4510041.0,7.193658287636936,54.584083,-144.09293
-3007027.75,4508037.0,8.564024249091744,54.614909,-144.639522
-3005023.75,4508037.0,8.564024249091744,54.569105,-144.278248
-3003019.75,4508037.0,6.307040666695684,54.52634,-143.940494
-3009032.0,4506032.5,8.219143728725612,54.554936,-144.469772
-3007027.75,4506032.5,8.219143728725612,54.510777,-144.121058
-3005023.75,4506032.5,5.241878705564886,54.469379,-143.793718
-3013039.75,4504028.5,8.753250729292631,54.541698,-144.668306
-3011036.0,4504028.5,8.753250729292631,54.49601,-144.307572
-3009032.0,4504028.5,7.529382687993348,54.453343,-143.97025
-3029072.0,4502024.5,7.87731524836272,55.056754,-149.007929
-3015043.75,4502024.5,7.87731524836272,54.48207,-144.500373
-3013039.75,4502024.5,7.87731524836272,54.438006,-144.152055
-3011036.0,4502024.5,5.9499519863165915,54.396695,-143.825071
-3017047.75,4500020.5,7.87731524836272,54.423448,-144.339767
-3015043.75,4500020.5,7.193658287636936,54.380855,-144.002687
-3035084.0,4498017.0,8.048229488544166,54.984692,-149.048086
-3021056.0,4498017.0,7.87731524836272,54.40977,-144.53412
-3019052.0,4498017.0,7.529382687993348,54.365768,-144.185938
-3017047.75,4498017.0,6.126970306504518,54.324506,-143.859011
-3023060.0,4496013.0,7.87731524836272,54.351436,-144.374985
-3021056.0,4496013.0,7.87731524836272,54.308892,-144.037949
-3019052.0,4496013.0,5.766829586122185,54.268856,-143.720378
-3041096.25,4494009.0,7.698770908173174,54.915971,-149.113196
-3027068.0,4494009.0,7.87731524836272,54.337965,-144.570598
-3025064.0,4494009.0,7.87731524836272,54.294,-144.222361
-3023060.0,4494009.0,7.87731524836272,54.252781,-143.895451
-3043100.25,4492005.0,7.698770908173174,54.767308,-148.250968
-3029072.0,4492005.0,8.048229488544166,54.279902,-144.412824
-3027068.0,4492005.0,7.529382687993348,54.237384,-144.075659
-3025064.0,4492005.0,7.02121802745387,54.197377,-143.758001
-3033080.0,4490001.0,8.048229488544166,54.26668,-144.609968
-3031076.0,4490001.0,8.048229488544166,54.222726,-144.261473
-3029072.0,4490001.0,8.048229488544166,54.181524,-143.934372
-3035084.0,4487996.5,7.87731524836272,54.208849,-144.453319
-3033080.0,4487996.5,7.87731524836272,54.166334,-144.115848
-3031076.0,4487996.5,7.87731524836272,54.126337,-143.797955
-3053120.25,4485992.5,5.9499519863165915,54.791947,-149.344989
-3039092.25,4485992.5,7.698770908173174,54.195893,-144.652137
-3037088.0,4485992.5,7.698770908173174,54.151919,-144.303144
-3035084.0,4485992.5,7.698770908173174,54.110713,-143.975691
-3033080.0,4485992.5,6.307040666695684,54.071822,-143.666251
-1790589.12,4485992.5,6.45811664685607,49.909978,-103.205206
-3041096.25,4483988.5,7.193658287636936,54.13833,-144.496757
-3039092.25,4483988.5,7.193658287636936,54.095793,-144.158784
-3037088.0,4483988.5,7.193658287636936,54.05578,-143.840454
-2009027.0,4483988.5,6.45811664685607,50.18155,-107.396325
-1800609.25,4483988.5,6.45811664685607,49.885737,-103.364774
-1794597.38,4483988.5,9.992378970608115,49.878024,-103.252955
-1792593.38,4483988.5,6.45811664685607,49.875462,-103.215731
-1790589.12,4483988.5,5.319705725647509,49.872905,-103.178527
-477958.16,4483988.5,5.319705725647509,48.940678,-82.00009
-475953.66,4483988.5,5.319705725647509,48.940146,-81.970452
-3059132.25,4481984.5,7.02121802745387,54.744937,-149.576753
-3045104.0,4481984.5,7.02121802745387,54.125635,-144.697227
-3043100.25,4481984.5,7.02121802745387,54.081631,-144.347653
-3041096.25,4481984.5,7.02121802745387,54.040398,-144.019669
-3039092.25,4481984.5,5.9499519863165915,54.001491,-143.709799
-2027063.25,4481984.5,6.45811664685607,50.17194,-107.727823
-1802613.5,4481984.5,6.45811664685607,49.851249,-103.375219
-1800609.25,4481984.5,7.971928488463163,49.848675,-103.337941
-1798605.25,4481984.5,6.45811664685607,49.846107,-103.300692
-3061136.25,4479980.5,6.307040666695684,54.56565,-148.470414
-3047108.0,4479980.5,6.673285467084497,54.0683,-144.542881
-3045104.0,4479980.5,6.673285467084497,54.025718,-144.204224
-3043100.25,4479980.5,6.673285467084497,53.985683,-143.88542
-3051116.25,4477976.5,7.02121802745387,54.055903,-144.745292
-3049112.0,4477976.5,6.307040666695684,54.011819,-144.394754
-3047108.0,4477976.5,5.9499519863165915,53.970538,-144.066072
-3045104.0,4477976.5,5.412792945746332,53.931597,-143.755631
-1798605.25,4477976.5,6.45811664685607,49.772143,-103.247419
-3067148.25,4475972.5,5.9499519863165915,54.502163,-148.570596
-3053120.25,4475972.5,7.02121802745387,53.99878,-144.591871
-3051116.25,4475972.5,7.02121802745387,53.956127,-144.252334
-3049112.0,4475972.5,6.307040666695684,53.916032,-143.932738
-3069152.25,4473968.5,5.9499519863165915,54.394198,-148.02046
-3055124.25,4473968.5,7.02121802745387,53.942504,-144.444622
-3053120.25,4473968.5,7.02121802745387,53.901151,-144.11506
-3051116.25,4473968.5,7.02121802745387,53.862156,-143.803897
-570142.69,4473968.5,5.319705725647509,48.794538,-83.334715
-3073160.5,4471964.5,5.766829586122185,54.44099,-148.687913
-3059132.25,4471964.5,6.307040666695684,53.929752,-144.643604
-3057128.25,4471964.5,6.307040666695684,53.887005,-144.302996
-3055124.25,4471964.5,6.307040666695684,53.846842,-143.982565
-3053120.25,4471964.5,5.589811265934259,53.80886,-143.679155
-3075164.5,4469960.5,5.07096446538344,54.33016,-148.114176
-3061136.25,4469960.5,6.307040666695684,53.873668,-144.497139
-3059132.25,4469960.5,6.307040666695684,53.832222,-144.166523
-3057128.25,4469960.5,6.307040666695684,53.793154,-143.854489
-572146.69,4469960.5,5.319705725647509,48.726187,-83.351472
-514030.06,4469960.5,5.319705725647509,48.708833,-82.493272
-3079172.25,4467956.5,5.589811265934259,54.382566,-148.825837
-3077168.25,4467956.5,5.589811265934259,54.238893,-147.693158
-3063140.25,4467956.5,5.9499519863165915,53.818356,-144.356263
-3061136.25,4467956.5,5.9499519863165915,53.7781,-144.034793
-3059132.25,4467956.5,5.9499519863165915,53.740045,-143.730518
-572146.69,4467956.5,5.319705725647509,48.691749,-83.345031
-3081176.5,4465952.5,5.412792945746332,54.267668,-148.219012
-3067148.25,4465952.5,5.9499519863165915,53.805317,-144.552364
-3065144.25,4465952.5,5.9499519863165915,53.763754,-144.220509
-3063140.25,4465952.5,5.9499519863165915,53.724594,-143.907453
-578158.56,4465952.5,5.319705725647509,48.659245,-83.427442
-564130.81,4465952.5,5.319705725647509,48.654851,-83.220221
-471945.72,4465952.5,5.319705725647509,48.628759,-81.863322
-3085184.5,4463948.5,6.126970306504518,54.3279,-148.992373
-3083180.5,4463948.5,6.126970306504518,54.175044,-147.786347
-3069152.25,4463948.5,5.766829586122185,53.750179,-144.41215
-3067148.25,4463948.5,5.766829586122185,53.709809,-144.089473
-3065144.25,4463948.5,5.766829586122185,53.671663,-143.784189
-1836681.75,4463948.5,5.319705725647509,49.563108,-103.767451
-1834677.75,4463948.5,6.45811664685607,49.560522,-103.730202
-580162.56,4463948.5,5.319705725647509,48.625511,-83.450565
-3087188.5,4461944.5,6.847251747269183,54.20693,-148.336648
-3085184.5,4461944.5,6.847251747269183,54.092709,-147.43384
-3071156.5,4461944.5,5.589811265934259,53.695753,-144.277076
-3069152.25,4461944.5,5.07096446538344,53.656476,-143.9628
-3067148.25,4461944.5,5.07096446538344,53.619271,-143.664724
-1836681.75,4461944.5,5.319705725647509,49.526389,-103.740686
-628259.31,4461944.5,5.319705725647509,48.607086,-84.155203
-584171.0,4461944.5,6.45811664685607,48.592451,-83.503253
-582167.06,4461944.5,7.971928488463163,48.591813,-83.473672
-3089192.5,4459940.5,5.766829586122185,54.112466,-147.888527
-3087188.5,4459940.5,6.847251747269183,54.016681,-147.130275
-3073160.5,4459940.5,5.589811265934259,53.641975,-144.146657
-3071156.5,4459940.5,5.589811265934259,53.603719,-143.840217
-1834677.75,4459940.5,7.971928488463163,49.487146,-103.676869
-632267.25,4459940.5,5.319705725647509,48.574134,-84.207508
-630263.31,4459940.5,5.319705725647509,48.573441,-84.177841
-3089192.5,4457936.5,5.766829586122185,53.945046,-146.860657
-3077168.25,4457936.5,6.126970306504518,53.628203,-144.336123
-3075164.5,4457936.5,5.9499519863165915,53.588805,-144.020583
-3073160.5,4457936.5,5.412792945746332,53.551492,-143.721374
-3079172.25,4455932.5,6.847251747269183,53.574582,-144.206249
-3077168.25,4455932.5,6.126970306504518,53.536198,-143.898506
-3075164.5,4455932.5,5.9499519863165915,53.499768,-143.606065
-596194.81,4455932.5,5.319705725647509,48.493507,-83.660954
-586175.0,4455932.5,5.319705725647509,48.49029,-83.513308
-455913.44,4455932.5,5.319705725647509,48.45361,-81.602987
-453909.5,4455932.5,5.319705725647509,48.45312,-81.573719
-451905.53,4455932.5,5.319705725647509,48.452631,-81.544454
-449901.56,4455932.5,5.319705725647509,48.452146,-81.515192
-3081176.5,4453928.5,6.847251747269183,53.521571,-144.080745
-3079172.25,4453928.5,6.847251747269183,53.484128,-143.780229
-3077168.25,4453928.5,5.412792945746332,53.448513,-143.494036
-596194.81,4453928.5,5.319705725647509,48.459303,-83.654365
-594190.81,4453928.5,5.319705725647509,48.458657,-83.624849
-439881.72,4453928.5,5.319705725647509,48.415644,-81.364124
-3083180.5,4451924.5,5.766829586122185,53.46912,-143.959223
-3081176.5,4451924.5,5.766829586122185,53.432563,-143.665505
-598198.75,4451924.5,5.319705725647509,48.425783,-83.67729
-652307.44,4447916.5,5.319705725647509,48.375813,-84.461039
-650303.5,4447916.5,5.319705725647509,48.375107,-84.431465
-648299.5,4447916.5,5.319705725647509,48.374403,-84.401896
-656315.38,4445912.5,5.319705725647509,48.343124,-84.512993
-654311.44,4445912.5,6.45811664685607,48.342415,-84.483433
-676355.56,4443908.5,5.319705725647509,48.316253,-84.801452
-660323.31,4443908.5,7.971928488463163,48.310473,-84.564894
-658319.38,4443908.5,6.45811664685607,48.309761,-84.535347
-662327.25,4441904.0,5.319705725647509,48.277136,-84.587206
-700403.69,4439900.0,5.319705725647509,48.257078,-85.141548
-684371.44,4439900.0,5.319705725647509,48.251103,-84.90488
-670343.69,4439900.0,6.45811664685607,48.245997,-84.698068
-668339.69,4439900.0,5.319705725647509,48.245276,-84.668543
-690383.88,4437896.0,6.45811664685607,48.219331,-84.986077
-688379.88,4437896.0,6.45811664685607,48.218589,-84.956525
-686375.94,4437896.0,5.319705725647509,48.21785,-84.926979
-676355.56,4437896.0,7.971928488463163,48.214187,-84.779315
-674351.62,4437896.0,6.673285467084497,48.213462,-84.749799
-672347.62,4437896.0,6.493215106893331,48.212739,-84.720287
-670343.69,4437896.0,9.992378970608115,48.212017,-84.690781
-668339.69,4437896.0,7.971928488463163,48.211299,-84.661279
-666335.75,4437896.0,5.319705725647509,48.210582,-84.631783
-692387.81,4435892.0,5.319705725647509,48.186113,-85.008112
-680363.5,4435892.0,7.971928488463163,48.181693,-84.83098
-678359.56,4435892.0,12.136437072884291,48.180964,-84.801477
-676355.56,4435892.0,6.673285467084497,48.180238,-84.771979
-674351.62,4435892.0,9.992378970608115,48.179514,-84.742486
-672347.62,4435892.0,7.971928488463163,48.178792,-84.712997
-670343.69,4435892.0,5.319705725647509,48.178073,-84.683515
-668339.69,4435892.0,7.971928488463163,48.177356,-84.654036
-666335.75,4435892.0,7.971928488463163,48.176641,-84.624563
-664331.25,4435892.0,5.319705725647509,48.175928,-84.595086
-662327.25,4435892.0,6.45811664685607,48.175218,-84.565622
-660323.31,4435892.0,5.319705725647509,48.17451,-84.536164
-706416.12,4433888.0,5.319705725647509,48.157433,-85.207334
-704411.62,4433888.0,5.319705725647509,48.156677,-85.17778
-702407.69,4433888.0,5.319705725647509,48.155922,-85.14824
-682367.5,4433888.0,7.971928488463163,48.148504,-84.853105
-680363.5,4433888.0,6.673285467084497,48.147775,-84.823619
-678359.56,4433888.0,9.992378970608115,48.147048,-84.79414
-676355.56,4433888.0,7.971928488463163,48.146324,-84.764664
-674351.62,4433888.0,6.45811664685607,48.145601,-84.735194
-672347.62,4433888.0,5.319705725647509,48.144881,-84.705729
-670343.69,4433888.0,5.319705725647509,48.144163,-84.676269
