x_geos,y_geos,Mask,Temp,Power,lat,lon
-2756525.75,4289599.0,1.0,474.82,171.8854522705078,47.999956,-120.399318
-3249514.25,3824667.25,1.0,485.26,190.54161071777344,41.182566,-122.885057
-3205425.75,3788595.0,1.0,554.7,221.8593292236328,40.540081,-121.2257
-3193401.5,3758534.75,1.0,1308.16,2066.20361328125,40.06443,-120.477803
-3191397.5,3758534.75,1.0,1183.18,4024.234130859375,40.060888,-120.433758
-3193401.5,3756530.75,1.0,832.96,957.9053344726562,40.034427,-120.446839
-3205425.75,3750518.75,1.0,481.25,235.76547241210938,39.965767,-120.61848
-3207430.0,3748514.5,1.0,593.65,400.7451171875,39.93936,-120.631642
-3245506.0,3670358.0,1.0,810.49,724.7924194335938,38.853298,-120.294504
-3245506.0,3668354.0,1.0,598.82,504.3053894042969,38.824191,-120.265819
-3243502.0,3668354.0,1.0,577.83,617.733154296875,38.82086,-120.223052
-1467942.75,3417852.0,1.0,718.03,65.26570892333984,34.086408,-91.815807
-1550107.38,3365747.25,1.0,839.11,55.19853591918945,33.48216,-92.651384
-1622252.0,3349715.25,1.0,532.67,99.61985778808594,33.315331,-93.472931
-2111232.25,3191398.0,1.0,933.22,168.22532653808594,31.634559,-98.941971
-2109228.25,3191398.0,1.0,512.95,52.49248123168945,31.633594,-98.91681
-2111232.25,3189394.0,1.0,504.27,44.22659683227539,31.610851,-98.934331
-1770549.38,3113241.0,1.0,517.18,47.70364761352539,30.577639,-94.541096
-1297601.25,2259529.75,1.0,568.11,46.239437103271484,21.269695,-87.844207
578159.12,2023055.62,1.0,500.37,50.60420227050781,18.834595,-69.439934
-1768545.25,1972955.12,1.0,720.12,69.48370361328125,18.473311,-92.328729
-1938886.75,1930870.75,1.0,565.08,38.77033615112305,18.087433,-94.041047
