x_geos,y_geos,Mask,Temp,Power,lat,lon
-2756525.75,4289599.0,1.0,499.49,143.7823486328125,47.999956,-120.399318
-3243502.0,3854727.75,1.0,690.12,76.04312896728516,41.642851,-123.30214
-3249514.25,3824667.25,1.0,474.05,172.1948699951172,41.182566,-122.885057
-3193401.5,3756530.75,1.0,815.21,354.04144287109375,40.034427,-120.446839
-1870750.25,3684386.0,1.0,866.96,84.4371337890625,37.658688,-97.971354
-3245506.0,3670358.0,1.0,761.48,608.632080078125,38.853298,-120.294504
-3245506.0,3668354.0,1.0,593.93,519.4799194335938,38.824191,-120.265819
-3243502.0,3668354.0,1.0,568.22,469.3183898925781,38.82086,-120.223052
-101202.95,3578173.25,1.0,449.88,81.36859130859375,35.804028,-76.163124
-1550107.38,3365747.25,1.0,950.8,54.50542068481445,33.48216,-92.651384
-1622252.0,3349715.25,1.0,726.71,118.37847900390625,33.315331,-93.472931
-1652312.38,3333683.25,1.0,420.88,48.92346954345703,33.13346,-93.786688
-1720448.88,3205426.0,1.0,496.69,56.1397590637207,31.633323,-94.214697
-2251513.25,3097208.75,1.0,466.03,51.133480072021484,30.596774,-100.34591
-1297601.25,2259529.75,1.0,704.29,18.957181930541992,21.269695,-87.844207
-1938886.75,1930870.75,1.0,575.08,45.09479904174805,18.087433,-94.041047
-1910830.62,1910830.62,1.0,514.49,40.133670806884766,17.884195,-93.722437
