x_geos,y_geos,Smoke,lat,lon
722448.38,4548117.5,1.0,50.15816,-64.068755
724452.38,4548117.5,1.0,50.159049,-64.037699
726456.31,4548117.5,1.0,50.159941,-64.006638
722448.38,4546113.5,1.0,50.122059,-64.078072
724452.38,4546113.5,1.0,50.122946,-64.047044
726456.31,4546113.5,1.0,50.123836,-64.016011
728460.31,4546113.5,1.0,50.124729,-63.984971
736476.44,4546113.5,1.0,50.128325,-63.860744
738480.38,4546113.5,1.0,50.129231,-63.829673
740484.38,4546113.5,1.0,50.130139,-63.798594
726456.31,4544109.5,1.0,50.087773,-64.025355
730464.25,4544109.5,1.0,50.089557,-63.963325
732468.19,4544109.5,1.0,50.090452,-63.932301
734472.44,4544109.5,1.0,50.091351,-63.901266
736476.44,4544109.5,1.0,50.092251,-63.870228
738480.38,4544109.5,1.0,50.093155,-63.839185
740484.38,4544109.5,1.0,50.094061,-63.808134
742488.31,4544109.5,1.0,50.09497,-63.777078
756516.62,4544109.5,1.0,50.101407,-63.559491
758520.56,4544109.5,1.0,50.102337,-63.528383
760524.56,4544109.5,1.0,50.10327,-63.497267
724452.38,4542105.5,1.0,50.050868,-64.065645
726456.31,4542105.5,1.0,50.051753,-64.034668
728460.31,4542105.5,1.0,50.052641,-64.003683
730464.25,4542105.5,1.0,50.053532,-63.972694
732468.19,4542105.5,1.0,50.054425,-63.941698
734472.44,4542105.5,1.0,50.055321,-63.910691
736476.44,4542105.5,1.0,50.05622,-63.879681
738480.38,4542105.5,1.0,50.057121,-63.848666
740484.38,4542105.5,1.0,50.058025,-63.817643
742488.31,4542105.5,1.0,50.058932,-63.786615
744492.56,4542105.5,1.0,50.059841,-63.755576
758520.56,4542105.5,1.0,50.066281,-63.538145
724452.38,4540101.5,1.0,50.014891,-64.0749
726456.31,4540101.5,1.0,50.015774,-64.043951
728460.31,4540101.5,1.0,50.01666,-64.012994
730464.25,4540101.5,1.0,50.017549,-63.982033
732468.19,4540101.5,1.0,50.01844,-63.951064
734472.44,4540101.5,1.0,50.019334,-63.920085
736476.44,4540101.5,1.0,50.02023,-63.889103
738480.38,4540101.5,1.0,50.021129,-63.858116
740484.38,4540101.5,1.0,50.022031,-63.827122
742488.31,4540101.5,1.0,50.022935,-63.796122
744492.56,4540101.5,1.0,50.023843,-63.76511
746496.5,4540101.5,1.0,50.024752,-63.734097
732468.19,4538097.5,1.0,49.982497,-63.960401
734472.44,4538097.5,1.0,49.983388,-63.92945
736476.44,4538097.5,1.0,49.984283,-63.898496
738480.38,4538097.5,1.0,49.985179,-63.867536
740484.38,4538097.5,1.0,49.986079,-63.83657
742488.31,4538097.5,1.0,49.986981,-63.805597
744492.56,4538097.5,1.0,49.987886,-63.774614
746496.5,4538097.5,1.0,49.988793,-63.743629
748500.5,4538097.5,1.0,49.989703,-63.712636
750504.44,4538097.5,1.0,49.990616,-63.681638
752508.44,4538097.5,1.0,49.991531,-63.650633
754512.62,4538097.5,1.0,49.99245,-63.619618
756516.62,4538097.5,1.0,49.99337,-63.5886
758520.56,4538097.5,1.0,49.994294,-63.557575
