x_geos,y_geos,Smoke,lat,lon
-2780574.25,4574169.5,1.0,54.465362,-133.152431
-2778570.25,4574169.5,1.0,54.451707,-133.039437
-2792598.25,4538097.5,1.0,53.540215,-131.21988
-2790594.0,4538097.5,1.0,53.528787,-131.122572
-2794602.25,4536093.0,1.0,53.498431,-131.188567
-2792598.25,4536093.0,1.0,53.487053,-131.091597
-2790594.0,4536093.0,1.0,53.475748,-130.995159
-2884783.0,4516053.5,1.0,53.520832,-134.574799
-2882779.25,4516053.5,1.0,53.506615,-134.456361
-2886787.0,4514049.0,1.0,53.477971,-134.533328
-2890795.0,4512045.0,1.0,53.449428,-134.610752
-2888791.0,4512045.0,1.0,53.435234,-134.492398
-2802618.25,4512045.0,1.0,52.91915,-130.105796
-2894803.0,4510041.0,1.0,53.42097,-134.688585
-2892799.0,4510041.0,1.0,53.406722,-134.569779
-2890795.0,4510041.0,1.0,53.392606,-134.451962
-2898811.25,4508037.0,1.0,53.392599,-134.766845
-2896807.25,4508037.0,1.0,53.378297,-134.647579
-2894803.0,4508037.0,1.0,53.364125,-134.529299
-2900815.0,4506033.0,1.0,53.349953,-134.72576
-2898811.25,4506033.0,1.0,53.33573,-134.607055
-2896807.25,4506033.0,1.0,53.321638,-134.489321
-2902819.0,4504029.0,1.0,53.307416,-134.685188
-2900815.0,4504029.0,1.0,53.29327,-134.567003
-2898811.25,4504029.0,1.0,53.279255,-134.449808
-2902819.0,4502025.0,1.0,53.250918,-134.527447
-2900815.0,4502025.0,1.0,53.236975,-134.410753
-2822658.5,4502025.0,1.0,52.769869,-130.432545
-2820654.5,4502025.0,1.0,52.759428,-130.341937
-2818650.25,4502025.0,1.0,52.749046,-130.251768
-2816646.5,4502025.0,1.0,52.738727,-130.162064
-2814642.5,4502025.0,1.0,52.728466,-130.072786
-2910835.25,4500021.0,1.0,53.25105,-134.842744
-2826666.5,4500021.0,1.0,52.740199,-130.498561
-2824662.5,4500021.0,1.0,52.729734,-130.407752
-2822658.5,4500021.0,1.0,52.719331,-130.317396
-2820654.5,4500021.0,1.0,52.708988,-130.227486
-2818650.25,4500021.0,1.0,52.698704,-130.138005
-2816646.5,4500021.0,1.0,52.688481,-130.04898
-2814642.5,4500021.0,1.0,52.678315,-129.960371
-2914843.25,4498017.5,1.0,53.223009,-134.922189
-2912839.25,4498017.5,1.0,53.208695,-134.8026
-2910835.25,4498017.5,1.0,53.194514,-134.684022
-2826666.5,4498017.5,1.0,52.689689,-130.383264
-2824662.5,4498017.5,1.0,52.679323,-130.293156
-2822658.5,4498017.5,1.0,52.669018,-130.203492
-2820654.5,4498017.5,1.0,52.658772,-130.114264
-2818650.25,4498017.5,1.0,52.648583,-130.025456
-2914843.25,4496013.5,1.0,53.166431,-134.7629
-2834682.5,4496013.5,1.0,52.681058,-130.631305
-2824662.5,4496013.5,1.0,52.629111,-130.179737
-2822658.5,4496013.5,1.0,52.618901,-130.090749
-2820654.5,4496013.5,1.0,52.608749,-130.002188
-2838690.5,4494009.0,1.0,52.651563,-130.697978
-2836686.5,4494009.0,1.0,52.641026,-130.606551
-2834682.5,4494009.0,1.0,52.630553,-130.515586
-2824662.5,4494009.0,1.0,52.579092,-130.067467
-2822658.5,4494009.0,1.0,52.568976,-129.97914
-2842698.75,4492005.0,1.0,52.622144,-130.764925
-2840694.75,4492005.0,1.0,52.611583,-130.673286
-2838690.5,4492005.0,1.0,52.601084,-130.582101
