x_geos,y_geos,Smoke,lat,lon
688379.88,4548117.5,1.0,50.143446,-64.59576
690383.88,4548117.5,1.0,50.14429,-64.564809
692388.12,4548117.5,1.0,50.145137,-64.533848
686375.94,4546113.5,1.0,50.106542,-64.63552
688379.88,4546113.5,1.0,50.107382,-64.604603
690383.88,4546113.5,1.0,50.108224,-64.57368
680363.75,4544109.5,1.0,50.068025,-64.736944
682368.0,4544109.5,1.0,50.068855,-64.706068
684371.94,4544109.5,1.0,50.069687,-64.675191
686375.94,4544109.5,1.0,50.070522,-64.644307
688379.88,4544109.5,1.0,50.07136,-64.613418
680363.75,4542105.5,1.0,50.032053,-64.74562
682368.0,4542105.5,1.0,50.032881,-64.714771
684371.94,4542105.5,1.0,50.033711,-64.683922
686375.94,4542105.5,1.0,50.034544,-64.653065
688379.88,4542105.5,1.0,50.03538,-64.622204
656315.62,4540101.5,1.0,49.986418,-65.123631
678359.81,4540101.5,1.0,49.9953,-64.785079
680363.75,4540101.5,1.0,49.996123,-64.754268
682368.0,4540101.5,1.0,49.996949,-64.723447
684371.94,4540101.5,1.0,49.997777,-64.692625
632267.5,4538097.5,1.0,49.941242,-65.500162
634271.5,4538097.5,1.0,49.942004,-65.469506
636275.44,4538097.5,1.0,49.942768,-65.438845
654311.69,4538097.5,1.0,49.949763,-65.162641
656315.62,4538097.5,1.0,49.950553,-65.131926
658319.62,4538097.5,1.0,49.951346,-65.101204
660323.81,4538097.5,1.0,49.952141,-65.070473
662327.81,4538097.5,1.0,49.952939,-65.03974
664331.75,4538097.5,1.0,49.953739,-65.009003
678359.81,4538097.5,1.0,49.959414,-64.793672
680363.75,4538097.5,1.0,49.960235,-64.762889
628259.31,4536093.0,1.0,49.90392,-65.569356
630263.56,4536093.0,1.0,49.904675,-65.538733
632267.5,4536093.0,1.0,49.905432,-65.50811
652307.69,4536093.0,1.0,49.913147,-65.201568
654311.69,4536093.0,1.0,49.913933,-65.170884
656315.62,4536093.0,1.0,49.914721,-65.140196
658319.62,4536093.0,1.0,49.915512,-65.109501
660323.81,4536093.0,1.0,49.916305,-65.078798
662327.81,4536093.0,1.0,49.917101,-65.048092
664331.75,4536093.0,1.0,49.917899,-65.017381
666335.75,4536093.0,1.0,49.9187,-64.986664
668339.69,4536093.0,1.0,49.919504,-64.955942
670343.94,4536093.0,1.0,49.92031,-64.92521
672347.88,4536093.0,1.0,49.921119,-64.894476
674351.88,4536093.0,1.0,49.92193,-64.863737
676355.81,4536093.0,1.0,49.922744,-64.832992
678359.81,4536093.0,1.0,49.92356,-64.802241
626255.38,4534089.0,1.0,49.867414,-65.607809
628259.31,4534089.0,1.0,49.868164,-65.577223
630263.56,4534089.0,1.0,49.868917,-65.546626
650303.75,4534089.0,1.0,49.876588,-65.240406
652307.69,4534089.0,1.0,49.877369,-65.209756
654311.69,4534089.0,1.0,49.878153,-65.179099
