x_geos,y_geos,Dust,lat,lon
-2716445.75,3902824.0,1.0,41.487363,-112.863754
-2716445.75,3900820.0,1.0,41.457285,-112.839426
-2714441.5,3900820.0,1.0,41.454572,-112.802228
-2716445.75,3898816.0,1.0,41.427232,-112.815165
-2714441.5,3898816.0,1.0,41.424525,-112.778008
-2716445.75,3896812.0,1.0,41.397204,-112.79097
-2714441.5,3896812.0,1.0,41.394503,-112.753854
-2712437.5,3896812.0,1.0,41.391808,-112.716776
-2716445.75,3894807.75,1.0,41.367198,-112.766838
-2714441.5,3894807.75,1.0,41.364503,-112.729764
-2712437.5,3894807.75,1.0,41.361814,-112.692727
-2710433.5,3876771.75,1.0,41.090388,-112.442573
-2712437.5,3874767.5,1.0,41.063273,-112.455807
-2710433.5,3874767.5,1.0,41.060647,-112.419204
-15030.01,2219449.25,1.0,20.772787,-75.146287
-13026.04,2219449.25,1.0,20.772784,-75.126782
-11022.08,2219449.25,1.0,20.772781,-75.107278
-9018.11,2219449.25,1.0,20.772779,-75.087773
-7014.15,2219449.25,1.0,20.772777,-75.068269
-15030.01,2217445.5,1.0,20.752659,-75.146264
-13026.04,2217445.5,1.0,20.752656,-75.126762
-11022.08,2217445.5,1.0,20.752654,-75.107261
-9018.11,2217445.5,1.0,20.752652,-75.087759
-7014.15,2217445.5,1.0,20.75265,-75.068258
23046.14,2211433.25,1.0,20.692309,-74.775833
325652.72,2143296.75,1.0,20.016068,-71.846349
323648.78,2141292.75,1.0,19.99602,-71.86626
325652.72,2141292.75,1.0,19.996085,-71.846825
327656.97,2141292.75,1.0,19.996152,-71.827386
329660.94,2141292.75,1.0,19.996218,-71.807949
339681.03,2141292.75,1.0,19.996556,-71.710755
169339.39,2139288.5,1.0,19.972209,-73.36158
171343.36,2139288.5,1.0,19.972243,-73.342182
173347.59,2139288.5,1.0,19.972278,-73.322781
175351.55,2139288.5,1.0,19.972313,-73.303383
177355.52,2139288.5,1.0,19.972349,-73.283984
321644.81,2139288.5,1.0,19.975974,-71.886163
323648.78,2139288.5,1.0,19.976039,-71.866731
325652.72,2139288.5,1.0,19.976104,-71.847299
327656.97,2139288.5,1.0,19.97617,-71.827863
329660.94,2139288.5,1.0,19.976237,-71.80843
331664.91,2139288.5,1.0,19.976304,-71.788996
333668.88,2139288.5,1.0,19.976371,-71.769561
335672.84,2139288.5,1.0,19.976438,-71.750125
337676.78,2139288.5,1.0,19.976506,-71.73069
339681.03,2139288.5,1.0,19.976575,-71.71125
139279.09,2137284.5,1.0,19.951773,-73.652723
141283.33,2137284.5,1.0,19.951802,-73.63333
