x_geos,y_geos,Mask,Temp,Power,lat,lon
-305612.53,4492005.0,1.0,1370.9,311.2967529296875,49.041862,-79.477216
-303608.56,4492005.0,1.0,1124.12,263.1678161621094,49.041523,-79.447744
-301604.59,4492005.0,1.0,798.46,234.74777221679688,49.041186,-79.418274
-299600.66,4492005.0,1.0,542.4,239.526123046875,49.040851,-79.388807
-315632.62,4490001.0,1.0,787.25,279.3323974609375,49.008896,-79.621004
-305612.53,4490001.0,1.0,695.89,252.79629516601562,49.007169,-79.473722
-301604.59,4490001.0,1.0,1100.06,1042.5126953125,49.006495,-79.414826
-299600.66,4490001.0,1.0,677.98,380.4726867675781,49.00616,-79.385382
-323648.78,4487997.0,1.0,688.42,200.63638305664062,48.975655,-79.735181
-522046.47,4411844.5,1.0,654.41,193.63180541992188,47.727651,-82.448401
-520042.5,4411844.5,1.0,736.54,282.5442199707031,47.727114,-82.419503
-518038.53,4411844.5,1.0,1031.94,997.6968383789062,47.726579,-82.390608
-518038.53,4409840.5,1.0,989.91,978.9673461914062,47.693178,-82.385266
-516034.56,4409840.5,1.0,622.27,266.200927734375,47.692646,-82.356397
-524050.44,4343707.5,1.0,507.02,143.57427978515625,46.610255,-82.301567
-201403.64,3508032.5,1.0,800.21,320.1270751953125,34.937694,-77.286895
-2930875.5,3425867.75,1.0,708.96,109.4223861694336,35.104932,-111.841517
-1431870.5,3423863.75,1.0,517.73,158.10467529296875,34.147215,-91.399305
-1431870.5,3421859.75,1.0,511.14,75.94563293457031,34.122698,-91.393614
-588179.19,3267550.5,1.0,537.07,35.1640739440918,32.086164,-81.44605
-3047108.25,3077168.75,1.0,809.0,133.01499938964844,30.866735,-111.160568
-876757.5,3077168.75,1.0,634.25,204.6213836669922,29.934859,-84.392935
-874753.56,3077168.75,1.0,657.32,445.9400939941406,29.934535,-84.37114
-3049112.5,3075164.75,1.0,451.81,151.3739471435547,30.844338,-111.178277
-3047108.25,3075164.75,1.0,559.7,452.5779724121094,30.84272,-111.147921
-3045104.5,3075164.75,1.0,506.8,180.49668884277344,30.841105,-111.117592
-3047108.25,3073160.75,1.0,457.13,193.47535705566406,30.818717,-111.135297
-672347.88,3061136.75,1.0,504.82,115.11353302001953,29.724724,-82.165352
-670343.94,3061136.75,1.0,512.07,128.21791076660156,29.724481,-82.143808
-698400.0,2830674.75,1.0,770.05,82.82638549804688,27.177023,-82.237006
-608219.38,2728469.75,1.0,599.58,101.78485107421875,26.065934,-81.224623
-610223.38,2724461.5,1.0,976.45,334.5844421386719,26.02323,-81.242571
-608219.38,2724461.5,1.0,590.8,131.6040496826172,26.023051,-81.221936
-1708424.88,1964939.25,1.0,458.18,66.71663665771484,18.383738,-91.701354
-1740489.12,1946903.0,1.0,488.06,81.39686584472656,18.210709,-92.00866
-1742493.0,1944899.12,1.0,440.54,86.23423767089844,18.191241,-92.026831
-1740489.12,1944899.12,1.0,509.93,152.22840881347656,18.190906,-92.006276
-1602211.88,1914838.75,1.0,634.09,54.95969772338867,17.872677,-90.564222
-1694396.62,1902814.75,1.0,507.68,40.556915283203125,17.76847,-91.486723
-1650308.38,1900810.5,1.0,411.76,40.76189422607422,17.741929,-91.036425
-1634276.25,1870750.25,1.0,543.99,49.42753219604492,17.444351,-90.842085
-968942.31,1688384.75,1.0,425.82,65.46647644042969,15.602166,-84.165151
-1017038.88,1672352.5,1.0,420.0,65.4478759765625,15.451697,-84.61826
-1640288.25,1660328.5,1.0,521.25,52.04991149902344,15.399296,-90.698373
