x_geos,y_geos,Mask,Temp,Power,lat,lon
-299600.66,4492005.0,1.0,658.86,522.6675415039062,49.040851,-79.388807
-297596.69,4492005.0,1.0,569.7,195.74960327148438,49.040518,-79.359341
-317636.88,4490001.0,1.0,583.1,192.96742248535156,49.009249,-79.650471
-315632.62,4490001.0,1.0,1205.21,291.8639831542969,49.008896,-79.621004
-307616.78,4490001.0,1.0,661.0,261.5182800292969,49.00751,-79.503177
-323648.78,4487997.0,1.0,609.2,204.77345275878906,48.975655,-79.735181
-522046.47,4409840.5,1.0,658.97,209.21900939941406,47.694248,-82.443015
-1327661.62,3592201.25,1.0,603.82,107.24909210205078,36.209335,-90.626162
-1349705.75,3457932.0,1.0,457.24,59.512489318847656,34.537363,-90.508404
-1475958.75,3439896.0,1.0,491.91,141.12315368652344,34.359589,-91.977587
-588179.19,3267550.5,1.0,581.13,137.68540954589844,32.086164,-81.44605
-588179.19,3265546.25,1.0,611.18,112.77334594726562,32.062695,-81.444118
-2317646.0,3083180.75,1.0,516.08,45.62074279785156,30.466472,-101.129151
-3049112.5,3075164.75,1.0,461.69,113.59469604492188,30.844338,-111.178277
-3047108.25,3075164.75,1.0,507.02,145.71775817871094,30.84272,-111.147921
-3049112.5,3073160.75,1.0,402.14,82.0627670288086,30.820332,-111.165636
-3047108.25,3073160.75,1.0,458.23,107.43248748779297,30.818717,-111.135297
-2818650.25,2113236.5,1.0,614.2,37.41313171386719,20.152706,-104.177071
-2884783.0,2033075.75,1.0,577.88,45.140098571777344,19.358536,-104.770942
-2780574.25,1930870.75,1.0,707.7,52.74106216430664,18.29244,-103.296951
-2744501.75,1916842.75,1.0,737.97,103.20585632324219,18.140938,-102.846852
