x_geos,y_geos,Mask,Temp,Power,lat,lon
-2367746.5,3684386.0,1.0,582.22,78.68356323242188,38.010784,-105.035305
-3247510.0,3682382.0,1.0,526.46,127.33465576171875,39.031849,-120.511602
-2003015.38,3622261.5,1.0,962.94,140.8927459716797,36.921855,-99.448215
-2003015.38,3620257.5,1.0,1040.95,264.2056884765625,36.895679,-99.4378
-1339685.62,3467952.0,1.0,537.95,36.587852478027344,34.657531,-90.415597
-852709.38,3323662.75,1.0,562.56,37.038047790527344,32.787983,-84.463814
-948902.12,3281578.5,1.0,573.05,68.55850219726562,32.308771,-85.482477
-3317650.75,3233482.25,1.0,519.16,108.53740692138672,33.048319,-116.750321
-3339694.75,3185385.75,1.0,444.39,59.34186553955078,32.466722,-116.714478
-2233477.25,3033080.25,1.0,521.74,33.21223068237305,29.84518,-99.879862
-3077168.75,2748510.0,1.0,467.19,93.7643051147461,27.074212,-109.77921
-640283.62,2726465.75,1.0,517.84,52.173736572265625,26.047421,-81.553682
-1790589.62,1914838.75,1.0,611.12,33.22343444824219,17.902607,-92.484745
-1690388.62,1842694.12,1.0,616.29,31.65968132019043,17.177846,-91.380406
