x_geos,y_geos,Mask,Temp,Power,lat,lon
-2367746.5,3684386.0,1.0,543.16,97.94377899169922,38.010784,-105.035305
-3247510.0,3682382.0,1.0,578.71,199.56851196289062,39.031849,-120.511602
-1405818.25,3475968.25,1.0,570.08,120.6375503540039,34.779322,-91.235078
-1457922.62,3411839.75,1.0,516.03,81.1529541015625,34.00938,-91.677888
-1357721.88,3411839.75,1.0,540.58,88.39422607421875,33.975407,-90.480187
-1393794.0,3391799.5,1.0,854.88,293.8104248046875,33.743475,-90.855758
-1391790.12,3391799.5,1.0,916.46,89.62488555908203,33.742813,-90.831933
-1215436.5,3355727.25,1.0,506.19,81.32273864746094,33.253943,-88.671206
-3317650.75,3233482.25,1.0,525.86,74.4442367553711,33.048319,-116.750321
-2243497.5,3197409.75,1.0,512.84,32.395572662353516,31.772609,-100.646451
-1536079.38,3133281.25,1.0,434.5,53.701759338378906,30.730132,-91.859938
-640283.62,2726465.75,1.0,595.63,114.94420623779297,26.047421,-81.553682
-638279.44,2726465.75,1.0,698.47,89.59635162353516,26.047234,-81.53302
-1750509.12,1990991.38,1.0,617.16,32.256343841552734,18.649048,-92.165198
-1690388.62,1842694.12,1.0,822.3,29.153608322143555,17.177846,-91.380406
