x_geos,y_geos,Dust,lat,lon
-1526059.25,3017048.25,1.0,29.399431,-91.475389
-1239484.62,2479971.5,1.0,23.525153,-87.496638
-1189384.12,2431875.0,1.0,23.018565,-86.92515
-1175356.12,2431875.0,1.0,23.016482,-86.781161
-1173352.25,2431875.0,1.0,23.016186,-86.760602
-1171348.25,2431875.0,1.0,23.015892,-86.740045
-1187380.25,2429871.0,1.0,22.997551,-86.902378
-1177360.12,2429871.0,1.0,22.996064,-86.799547
-1175356.12,2429871.0,1.0,22.995769,-86.778988
-1173352.25,2429871.0,1.0,22.995474,-86.758434
-1171348.25,2429871.0,1.0,22.995179,-86.737881
-1185376.25,2427867.25,1.0,22.976545,-86.879618
-1183372.25,2427867.25,1.0,22.976248,-86.859053
-1179364.38,2427867.25,1.0,22.975654,-86.817933
-1177360.12,2427867.25,1.0,22.975359,-86.797374
-1175356.12,2427867.25,1.0,22.975063,-86.77682
-1173352.25,2427867.25,1.0,22.974769,-86.756269
-1193392.38,2425863.25,1.0,22.957034,-86.9597
-1191388.38,2425863.25,1.0,22.956734,-86.93913
-1185376.25,2425863.25,1.0,22.95584,-86.877432
-1183372.25,2425863.25,1.0,22.955543,-86.856871
-1181368.38,2425863.25,1.0,22.955246,-86.836315
-1179364.38,2425863.25,1.0,22.95495,-86.815759
-1177360.12,2425863.25,1.0,22.954655,-86.795204
-1175356.12,2425863.25,1.0,22.95436,-86.774653
-1195396.38,2423859.25,1.0,22.936632,-86.978071
-1193392.38,2423859.25,1.0,22.936332,-86.957501
-1191388.38,2423859.25,1.0,22.936033,-86.936935
-1189384.12,2423859.25,1.0,22.935735,-86.916368
-1187380.25,2423859.25,1.0,22.935437,-86.895808
-1185376.25,2423859.25,1.0,22.93514,-86.875249
-1183372.25,2423859.25,1.0,22.934843,-86.854692
-1181368.38,2423859.25,1.0,22.934547,-86.83414
-1179364.38,2423859.25,1.0,22.934252,-86.813588
-1177360.12,2423859.25,1.0,22.933956,-86.793037
-1175356.12,2423859.25,1.0,22.933662,-86.77249
-1193392.38,2421855.25,1.0,22.915636,-86.955306
-1191388.38,2421855.25,1.0,22.915337,-86.934743
-1189384.12,2421855.25,1.0,22.915039,-86.91418
-1187380.25,2421855.25,1.0,22.914742,-86.893624
-1185376.25,2421855.25,1.0,22.914445,-86.873069
-1183372.25,2421855.25,1.0,22.914149,-86.852516
-1181368.38,2421855.25,1.0,22.913853,-86.831968
-1175356.12,2421855.25,1.0,22.912969,-86.77033
-1189384.12,2419851.25,1.0,22.894348,-86.911995
-1187380.25,2419851.25,1.0,22.894051,-86.891443
-1185376.25,2419851.25,1.0,22.893755,-86.870892
-1183372.25,2419851.25,1.0,22.893459,-86.850344
-1187380.25,2417847.0,1.0,22.873363,-86.889265
-1185376.25,2417847.0,1.0,22.873067,-86.868718
-1183372.25,2417847.0,1.0,22.872771,-86.848174
-1181368.38,2417847.0,1.0,22.872476,-86.827633
-1185376.25,2415843.0,1.0,22.852387,-86.866547
-1183372.25,2415843.0,1.0,22.852091,-86.846007
-1181368.38,2415843.0,1.0,22.851797,-86.82547
-1179364.38,2415843.0,1.0,22.851503,-86.804935
-1177360.12,2415843.0,1.0,22.851209,-86.784399
-1175356.12,2415843.0,1.0,22.850916,-86.763868
-1173352.25,2415843.0,1.0,22.850624,-86.743342
-1185376.25,2413838.75,1.0,22.831709,-86.86438
-1183372.25,2413838.75,1.0,22.831414,-86.843843
-1181368.38,2413838.75,1.0,22.83112,-86.82331
-1179364.38,2413838.75,1.0,22.830826,-86.802778
-1177360.12,2413838.75,1.0,22.830533,-86.782247
-1175356.12,2413838.75,1.0,22.83024,-86.76172
-1173352.25,2413838.75,1.0,22.829948,-86.741197
-1171348.25,2413838.75,1.0,22.829656,-86.720676
-1185376.25,2411834.75,1.0,22.811038,-86.862215
-1183372.25,2411834.75,1.0,22.810744,-86.841682
-1181368.38,2411834.75,1.0,22.81045,-86.821153
-1177360.12,2411834.75,1.0,22.809864,-86.780098
-1175356.12,2411834.75,1.0,22.809571,-86.759575
-1173352.25,2411834.75,1.0,22.80928,-86.739057
-1183372.25,2409831.0,1.0,22.790081,-86.839525
-1181368.38,2409831.0,1.0,22.789788,-86.819
-1183372.25,2407827.0,1.0,22.769421,-86.83737
-1181368.38,2407827.0,1.0,22.769128,-86.816849
-1181368.38,2405823.0,1.0,22.748473,-86.814702
-1179364.38,2403819.0,1.0,22.727531,-86.792045
-1171348.25,2403819.0,1.0,22.726369,-86.710021
-1179364.38,2401815.0,1.0,22.706886,-86.789907
-1177360.12,2401815.0,1.0,22.706595,-86.769399
-1173352.25,2401815.0,1.0,22.706015,-86.728397
-1171348.25,2401815.0,1.0,22.705725,-86.707899
-1181368.38,2399811.0,1.0,22.686537,-86.808277
-1179364.38,2399811.0,1.0,22.686246,-86.787773
-1177360.12,2399811.0,1.0,22.685955,-86.767269
-1175356.12,2399811.0,1.0,22.685665,-86.746769
-1173352.25,2399811.0,1.0,22.685376,-86.726274
-1171348.25,2399811.0,1.0,22.685087,-86.70578
-1169344.25,2399811.0,1.0,22.684798,-86.685288
-1181368.38,2397806.75,1.0,22.665899,-86.806141
-1179364.38,2397806.75,1.0,22.665608,-86.785641
-1177360.12,2397806.75,1.0,22.665318,-86.765141
-1175356.12,2397806.75,1.0,22.665028,-86.744645
-1173352.25,2397806.75,1.0,22.664739,-86.724154
-1171348.25,2397806.75,1.0,22.66445,-86.703664
-1169344.25,2397806.75,1.0,22.664162,-86.683176
-1167340.0,2397806.75,1.0,22.663875,-86.662688
-1181368.38,2395803.0,1.0,22.645271,-86.804009
-1179364.38,2395803.0,1.0,22.644981,-86.783512
-1177360.12,2395803.0,1.0,22.644691,-86.763016
-1175356.12,2395803.0,1.0,22.644401,-86.742525
-1173352.25,2395803.0,1.0,22.644113,-86.722037
-1171348.25,2395803.0,1.0,22.643824,-86.701551
-1169344.25,2395803.0,1.0,22.643536,-86.681067
-1167340.0,2395803.0,1.0,22.643249,-86.660583
-1181368.38,2393799.0,1.0,22.624645,-86.801879
-1179364.38,2393799.0,1.0,22.624355,-86.781387
-1177360.12,2393799.0,1.0,22.624066,-86.760894
-1175356.12,2393799.0,1.0,22.623777,-86.740407
-1173352.25,2393799.0,1.0,22.623488,-86.719923
-1171348.25,2393799.0,1.0,22.6232,-86.699441
-1169344.25,2393799.0,1.0,22.622913,-86.678961
-1167340.0,2393799.0,1.0,22.622626,-86.658481
-1165336.0,2393799.0,1.0,22.62234,-86.638006
-1183372.25,2391794.75,1.0,22.604312,-86.820242
-1181368.38,2391794.75,1.0,22.604022,-86.799752
-1179364.38,2391794.75,1.0,22.603732,-86.779264
-1177360.12,2391794.75,1.0,22.603443,-86.758775
-1175356.12,2391794.75,1.0,22.603154,-86.738292
-1173352.25,2391794.75,1.0,22.602866,-86.717812
-1171348.25,2391794.75,1.0,22.602579,-86.697333
-1169344.25,2391794.75,1.0,22.602292,-86.676857
-1167340.0,2391794.75,1.0,22.602005,-86.656381
-1165336.0,2391794.75,1.0,22.601719,-86.63591
-1163332.12,2391794.75,1.0,22.601434,-86.615443
-1183372.25,2389790.75,1.0,22.583696,-86.818114
-1181368.38,2389790.75,1.0,22.583406,-86.797628
-1179364.38,2389790.75,1.0,22.583116,-86.777144
-1177360.12,2389790.75,1.0,22.582828,-86.756659
-1175356.12,2389790.75,1.0,22.582539,-86.73618
-1173352.25,2389790.75,1.0,22.582252,-86.715704
-1171348.25,2389790.75,1.0,22.581964,-86.695229
-1169344.25,2389790.75,1.0,22.581678,-86.674757
-1167340.0,2389790.75,1.0,22.581391,-86.654285
-1165336.0,2389790.75,1.0,22.581106,-86.633817
-1163332.12,2389790.75,1.0,22.580821,-86.613354
-1161328.12,2389790.75,1.0,22.580536,-86.592891
-1181368.38,2387786.75,1.0,22.562795,-86.795508
-1179364.38,2387786.75,1.0,22.562506,-86.775027
-1177360.12,2387786.75,1.0,22.562217,-86.754546
-1175356.12,2387786.75,1.0,22.561929,-86.73407
-1173352.25,2387786.75,1.0,22.561642,-86.713599
-1171348.25,2387786.75,1.0,22.561355,-86.693128
-1167340.0,2387786.75,1.0,22.560783,-86.652191
-1165336.0,2387786.75,1.0,22.560497,-86.631728
-1163332.12,2387786.75,1.0,22.560213,-86.611268
-1181368.38,2385782.75,1.0,22.542188,-86.79339
-1179364.38,2385782.75,1.0,22.5419,-86.772913
-1177360.12,2385782.75,1.0,22.541611,-86.752436
-1175356.12,2385782.75,1.0,22.541324,-86.731964
-1173352.25,2385782.75,1.0,22.541037,-86.711496
-1171348.25,2385782.75,1.0,22.54075,-86.691029
-1169344.25,2385782.75,1.0,22.540464,-86.670565
-1179364.38,2383778.75,1.0,22.521298,-86.770802
-1177360.12,2383778.75,1.0,22.52101,-86.750329
-1175356.12,2383778.75,1.0,22.520723,-86.729861
-1173352.25,2383778.75,1.0,22.520437,-86.709397
-1171348.25,2383778.75,1.0,22.52015,-86.688934
-1169344.25,2383778.75,1.0,22.519865,-86.668473
-1179364.38,2381774.75,1.0,22.500702,-86.768694
-1177360.12,2381774.75,1.0,22.500414,-86.748225
-1175356.12,2381774.75,1.0,22.500128,-86.727761
-1173352.25,2381774.75,1.0,22.499841,-86.707301
-1171348.25,2381774.75,1.0,22.499555,-86.686842
-1189384.12,2379771.0,1.0,22.481556,-86.868938
-1187380.25,2379771.0,1.0,22.481266,-86.848464
-1179364.38,2379771.0,1.0,22.480113,-86.76659
-1177360.12,2379771.0,1.0,22.479826,-86.746124
-1175356.12,2379771.0,1.0,22.479539,-86.725664
-1173352.25,2379771.0,1.0,22.479253,-86.705208
-1189384.12,2377767.0,1.0,22.460967,-86.866817
-1179364.38,2377767.0,1.0,22.459526,-86.764488
-1177360.12,2377767.0,1.0,22.459239,-86.744026
-1175356.12,2377767.0,1.0,22.458953,-86.72357
-1173352.25,2377767.0,1.0,22.458668,-86.703117
-1193392.38,2375762.75,1.0,22.44096,-86.905644
-1191388.38,2375762.75,1.0,22.44067,-86.885171
-1189384.12,2375762.75,1.0,22.440381,-86.864699
-1187380.25,2375762.75,1.0,22.440092,-86.844232
-1179364.38,2375762.75,1.0,22.438941,-86.762388
-1177360.12,2375762.75,1.0,22.438655,-86.741931
-1175356.12,2375762.75,1.0,22.438369,-86.721478
-1173352.25,2375762.75,1.0,22.438084,-86.701029
