x_geos,y_geos,Dust,lat,lon
958922.5,3580177.25,1.0,35.945179,-63.855982
978962.69,3562141.0,1.0,35.723507,-63.655788
984974.56,3562141.0,1.0,35.725025,-63.584507
986978.56,3562141.0,1.0,35.725533,-63.560739
986978.56,3560137.0,1.0,35.700401,-63.564965
822649.06,3485988.25,1.0,34.74287,-65.627224
584171.0,2463939.5,1.0,23.282942,-69.178548
592187.12,2459931.5,1.0,23.242108,-69.100374
578159.12,2457927.5,1.0,23.220388,-69.241972
592187.12,2457927.5,1.0,23.221405,-69.101458
578159.12,2455923.5,1.0,23.199691,-69.243028
580163.06,2455923.5,1.0,23.199835,-69.222963
578159.12,2453919.25,1.0,23.178997,-69.244084
580163.06,2453919.25,1.0,23.179141,-69.224022
578159.12,2451915.25,1.0,23.158311,-69.245137
602207.25,2443899.5,1.0,23.077361,-69.008733
602207.25,2441895.5,1.0,23.056697,-69.009824
534070.5,2419851.25,1.0,22.825033,-69.701517
536074.75,2419851.25,1.0,22.825163,-69.681539
540082.69,2419851.25,1.0,22.825423,-69.641586
538078.75,2417847.0,1.0,22.80469,-69.662519
540082.69,2417847.0,1.0,22.804821,-69.642546
538078.75,2415843.0,1.0,22.784095,-69.663475
540082.69,2415843.0,1.0,22.784226,-69.643505
552106.75,2415843.0,1.0,22.785017,-69.52366
538078.75,2413838.75,1.0,22.763503,-69.664429
548098.81,2413838.75,1.0,22.764158,-69.564584
550102.81,2413838.75,1.0,22.76429,-69.544611
552106.75,2413838.75,1.0,22.764423,-69.524639
568139.0,2413838.75,1.0,22.765505,-69.364811
538078.75,2411834.75,1.0,22.742917,-69.665381
540082.69,2411834.75,1.0,22.743047,-69.645419
548098.81,2411834.75,1.0,22.743572,-69.565554
550102.81,2411834.75,1.0,22.743704,-69.545586
552106.75,2411834.75,1.0,22.743837,-69.525617
538078.75,2409831.0,1.0,22.72234,-69.666332
540082.69,2409831.0,1.0,22.722469,-69.646374
552106.75,2409831.0,1.0,22.723258,-69.526593
538078.75,2407827.0,1.0,22.701764,-69.667282
540082.69,2407827.0,1.0,22.701894,-69.647327
538078.75,2405823.0,1.0,22.681193,-69.668231
542086.62,2405823.0,1.0,22.681452,-69.628326
544090.62,2405823.0,1.0,22.681583,-69.608372
538078.75,2403819.0,1.0,22.660627,-69.669178
