x_geos,y_geos,Dust,lat,lon
-1526059.25,3017048.25,1.0,29.399431,-91.475389
-1249504.75,2489991.75,1.0,23.631101,-87.612445
-1247500.75,2489991.75,1.0,23.630774,-87.591668
-1251508.75,2487987.75,1.0,23.610554,-87.630802
-1249504.75,2487987.75,1.0,23.610226,-87.610027
-1253513.0,2485983.75,1.0,23.590011,-87.64916
-1251508.75,2485983.75,1.0,23.589683,-87.628383
-1243492.88,2485983.75,1.0,23.588378,-87.545318
-1243492.88,2483979.75,1.0,23.567514,-87.54292
-1247500.75,2481975.75,1.0,23.547306,-87.582034
-1245496.88,2481975.75,1.0,23.546981,-87.561279
-1243492.88,2481975.75,1.0,23.546656,-87.540525
-1241488.62,2481975.75,1.0,23.546332,-87.519771
-1249504.75,2479971.5,1.0,23.526775,-87.600389
-1247500.75,2479971.5,1.0,23.526449,-87.579634
-1245496.88,2479971.5,1.0,23.526124,-87.558883
-1243492.88,2479971.5,1.0,23.5258,-87.538133
-1241488.62,2479971.5,1.0,23.525476,-87.517383
-1249504.75,2477967.5,1.0,23.505925,-87.597989
-1247500.75,2477967.5,1.0,23.5056,-87.577237
-1245496.88,2477967.5,1.0,23.505276,-87.55649
-1243492.88,2477967.5,1.0,23.504952,-87.535744
-1241488.62,2477967.5,1.0,23.504629,-87.514999
-1249504.75,2475963.5,1.0,23.485081,-87.595591
-1247500.75,2475963.5,1.0,23.484757,-87.574844
-1245496.88,2475963.5,1.0,23.484433,-87.554101
-1243492.88,2475963.5,1.0,23.484109,-87.53336
-1251508.75,2473959.5,1.0,23.464567,-87.613943
-1249504.75,2473959.5,1.0,23.464242,-87.593197
-1247500.75,2473959.5,1.0,23.463918,-87.572454
-1255516.88,2441895.5,1.0,23.132472,-87.617394
-1255516.88,2439891.25,1.0,23.111715,-87.615044
-1107219.75,2439891.25,1.0,23.089596,-86.091679
-1255516.88,2437887.25,1.0,23.090967,-87.612698
-1177360.12,2435883.25,1.0,23.058222,-86.806085
-1179364.38,2433879.0,1.0,23.037793,-86.824473
-1177360.12,2433879.0,1.0,23.037496,-86.803902
-1175356.12,2433879.0,1.0,23.0372,-86.783336
-1181368.38,2431875.0,1.0,23.017372,-86.842858
-1179364.38,2431875.0,1.0,23.017074,-86.82229
-1177360.12,2431875.0,1.0,23.016778,-86.801723
-1175356.12,2431875.0,1.0,23.016482,-86.781161
-1173352.25,2431875.0,1.0,23.016186,-86.760602
