x_geos,y_geos,Smoke,lat,lon
-2013035.38,4588198.0,1.0,52.243397,-109.392325
-2011031.38,4588198.0,1.0,52.23964,-109.347903
-1932874.75,4588198.0,1.0,52.099069,-107.650013
-1930870.75,4588198.0,1.0,52.095611,-107.60732
-235472.12,4588198.0,1.0,50.741511,-78.586011
-233467.91,4588198.0,1.0,50.741218,-78.555411
-231463.94,4588198.0,1.0,50.740928,-78.524817
-229459.97,4588198.0,1.0,50.740641,-78.494226
195391.75,4588198.0,1.0,50.736142,-72.025563
197395.72,4588198.0,1.0,50.736386,-71.995002
199399.67,4588198.0,1.0,50.736633,-71.964439
-2013035.38,4586194.0,1.0,52.20223,-109.351198
-2011031.38,4586194.0,1.0,52.198487,-109.306866
-2009027.5,4586194.0,1.0,52.194752,-109.262583
-2007023.38,4586194.0,1.0,52.191024,-109.218341
-1932874.75,4586194.0,1.0,52.058429,-107.612279
-1930870.75,4586194.0,1.0,52.054984,-107.569666
-227456.0,4586194.0,1.0,50.703756,-78.460623
47094.53,4586194.0,1.0,50.688422,-74.284299
49098.5,4586194.0,1.0,50.688482,-74.253841
197395.72,4586194.0,1.0,50.699796,-71.997613
199399.67,4586194.0,1.0,50.700042,-71.967077
-2105220.25,4584190.0,1.0,52.341622,-111.398246
-2095200.12,4584190.0,1.0,52.321117,-111.165996
-2015039.5,4584190.0,1.0,52.164871,-109.354553
-2013035.38,4584190.0,1.0,52.161134,-109.310262
-2009027.5,4584190.0,1.0,52.153683,-109.221826
-2007023.38,4584190.0,1.0,52.149969,-109.177673
-1934878.75,4584190.0,1.0,52.021296,-107.617287
-1932874.75,4584190.0,1.0,52.017856,-107.574714
-1930870.75,4584190.0,1.0,52.014424,-107.53218
-227456.0,4584190.0,1.0,50.667199,-78.457621
45090.3,4584190.0,1.0,50.651847,-74.315353
47094.53,4584190.0,1.0,50.651904,-74.284918
49098.5,4584190.0,1.0,50.651963,-74.254486
51102.46,4584190.0,1.0,50.652025,-74.224054
-2105220.25,4582186.0,1.0,52.299905,-111.353077
-2097204.25,4582186.0,1.0,52.283547,-111.167583
-2095200.12,4582186.0,1.0,52.27948,-111.121342
-1930870.75,4582186.0,1.0,51.973929,-107.494861
-85170.69,4582186.0,1.0,50.616978,-76.292263
-83166.72,4582186.0,1.0,50.616874,-76.261847
41082.37,4582186.0,1.0,50.615266,-74.376752
43086.34,4582186.0,1.0,50.615318,-74.346348
-2109228.25,4580182.0,1.0,52.266462,-111.400996
-2107224.25,4580182.0,1.0,52.262357,-111.354535
-2105220.25,4580182.0,1.0,52.258262,-111.308128
-2097204.25,4580182.0,1.0,52.241969,-111.123044
-2095200.12,4580182.0,1.0,52.237917,-111.076905
-2093196.12,4580182.0,1.0,52.233875,-111.030822
-1932874.75,4580182.0,1.0,51.936908,-107.500084
-1912834.5,4580182.0,1.0,51.903132,-107.078056
-1910830.62,4580182.0,1.0,51.899792,-107.036068
-87174.65,4580182.0,1.0,50.580649,-76.321539
-85170.69,4580182.0,1.0,50.580543,-76.29115
-83166.72,4580182.0,1.0,50.580439,-76.260761
-81162.75,4580182.0,1.0,50.580338,-76.230372
-79158.79,4580182.0,1.0,50.58024,-76.199985
-77154.55,4580182.0,1.0,50.580144,-76.169594
-75150.59,4580182.0,1.0,50.58005,-76.139208
-73146.62,4580182.0,1.0,50.579959,-76.108822
736476.44,4580182.0,1.0,50.748192,-63.694681
738480.38,4580182.0,1.0,50.749138,-63.663117
740484.38,4580182.0,1.0,50.750086,-63.631544
742488.31,4580182.0,1.0,50.751037,-63.599966
744492.56,4580182.0,1.0,50.751991,-63.568376
-2109228.25,4578178.0,1.0,52.224861,-111.35606
-2107224.25,4578178.0,1.0,52.220773,-111.309701
-2097204.25,4578178.0,1.0,52.200463,-111.07872
-1914838.62,4578178.0,1.0,51.86621,-107.083712
-1912834.5,4578178.0,1.0,51.862874,-107.041756
-1910830.62,4578178.0,1.0,51.859546,-106.999842
-87174.65,4578178.0,1.0,50.544257,-76.320404
-85170.69,4578178.0,1.0,50.544151,-76.29004
-83166.72,4578178.0,1.0,50.544048,-76.259677
-79158.79,4578178.0,1.0,50.543848,-76.198954
-77154.55,4578178.0,1.0,50.543753,-76.168589
-75150.59,4578178.0,1.0,50.543659,-76.138229
-39078.4,4578178.0,1.0,50.542398,-75.591825
-37074.44,4578178.0,1.0,50.542351,-75.561474
-35070.2,4578178.0,1.0,50.542307,-75.531119
-33066.24,4578178.0,1.0,50.542265,-75.500768
738480.38,4578178.0,1.0,50.71232,-63.673176
740484.38,4578178.0,1.0,50.713266,-63.641633
746496.5,4578178.0,1.0,50.716121,-63.546963
-1914838.62,4576173.5,1.0,51.825995,-107.047485
-1912834.5,4576173.5,1.0,51.822671,-107.005604
-85170.69,4576173.5,1.0,50.507793,-76.288934
-77154.55,4576173.5,1.0,50.507395,-76.167587
-75150.59,4576173.5,1.0,50.507302,-76.137253
-73146.62,4576173.5,1.0,50.507211,-76.10692
-71142.66,4576173.5,1.0,50.507123,-76.076587
-37074.44,4576173.5,1.0,50.505998,-75.560993
-35070.2,4576173.5,1.0,50.505954,-75.530664
15030.01,4576173.5,1.0,50.505647,-74.772579
37074.44,4576173.5,1.0,50.505998,-74.439007
221443.84,4576173.5,1.0,50.520572,-71.645577
223448.06,4576173.5,1.0,50.520845,-71.615148
678359.81,4576173.5,1.0,50.648515,-64.625542
680363.75,4576173.5,1.0,50.649376,-64.594224
738480.38,4576173.5,1.0,50.675538,-63.683204
740484.38,4576173.5,1.0,50.676482,-63.651691
-73146.62,4574169.5,1.0,50.470907,-76.105973
-37074.44,4574169.5,1.0,50.469696,-75.560513
-35070.2,4574169.5,1.0,50.469652,-75.53021
47094.53,4574169.5,1.0,50.469953,-74.287984
111223.04,4574169.5,1.0,50.473045,-73.318045
193387.78,4574169.5,1.0,50.48068,-72.073856
195391.75,4574169.5,1.0,50.480917,-72.043481
197395.72,4574169.5,1.0,50.481158,-72.013105
221443.84,4574169.5,1.0,50.484234,-71.648452
223448.06,4574169.5,1.0,50.484507,-71.61805
678359.81,4574169.5,1.0,50.611856,-64.634654
-147295.23,4572165.5,1.0,50.439614,-77.226021
-33066.24,4572165.5,1.0,50.433351,-75.499485
-31062.27,4572165.5,1.0,50.433312,-75.469213
-19038.21,4572165.5,1.0,50.433129,-75.287579
45090.3,4572165.5,1.0,50.433637,-74.31887
47094.53,4572165.5,1.0,50.433693,-74.288591
91182.85,4572165.5,1.0,50.435545,-73.622403
93186.81,4572165.5,1.0,50.435657,-73.592116
103206.91,4572165.5,1.0,50.436256,-73.44066
105210.88,4572165.5,1.0,50.436383,-73.410368
113227.01,4572165.5,1.0,50.436915,-73.289184
119238.91,4572165.5,1.0,50.43734,-73.19829
121243.14,4572165.5,1.0,50.437486,-73.167985
193387.78,4572165.5,1.0,50.444393,-72.076356
195391.75,4572165.5,1.0,50.444631,-72.046008
203407.88,4572165.5,1.0,50.445604,-71.924594
205411.84,4572165.5,1.0,50.445854,-71.894238
221443.84,4572165.5,1.0,50.44794,-71.651318
315632.62,4572165.5,1.0,50.463389,-70.221488
317636.88,4572165.5,1.0,50.463777,-70.191005
321644.81,4572165.5,1.0,50.464561,-70.13004
796597.0,4572165.5,1.0,50.630481,-62.788168
-2117244.5,4570161.5,1.0,52.075373,-111.362818
-149299.2,4570161.5,1.0,50.403562,-77.254415
-147295.23,4570161.5,1.0,50.403382,-77.224125
-145291.27,4570161.5,1.0,50.403204,-77.193837
-143287.3,4570161.5,1.0,50.403029,-77.163549
-141283.33,4570161.5,1.0,50.402856,-77.133263
-139279.09,4570161.5,1.0,50.402685,-77.102974
-137275.14,4570161.5,1.0,50.402517,-77.07269
-135271.17,4570161.5,1.0,50.402351,-77.042408
-133267.2,4570161.5,1.0,50.402188,-77.012126
-131263.23,4570161.5,1.0,50.402027,-76.981845
-125251.07,4570161.5,1.0,50.401559,-76.891006
-123247.1,4570161.5,1.0,50.401408,-76.86073
-121243.14,4570161.5,1.0,50.40126,-76.830455
-21042.18,4570161.5,1.0,50.396938,-75.31758
-19038.21,4570161.5,1.0,50.396914,-75.287334
-17034.24,4570161.5,1.0,50.396892,-75.257089
65130.49,4570161.5,1.0,50.398089,-74.016932
67134.46,4570161.5,1.0,50.39817,-73.986679
89178.88,4570161.5,1.0,50.399214,-73.653837
91182.85,4570161.5,1.0,50.399324,-73.623576
107214.84,4570161.5,1.0,50.400288,-73.381453
109219.08,4570161.5,1.0,50.400419,-73.351181
111223.04,4570161.5,1.0,50.400553,-73.320911
113227.01,4570161.5,1.0,50.40069,-73.290641
119238.91,4570161.5,1.0,50.401114,-73.199824
121243.14,4570161.5,1.0,50.40126,-73.169545
191383.55,4570161.5,1.0,50.407916,-72.109174
193387.78,4570161.5,1.0,50.40815,-72.078849
199399.67,4570161.5,1.0,50.408867,-71.987877
205411.84,4570161.5,1.0,50.409607,-71.896886
207415.81,4570161.5,1.0,50.409858,-71.866554
209419.78,4570161.5,1.0,50.410112,-71.83622
221443.84,4570161.5,1.0,50.411687,-71.654175
223448.06,4570161.5,1.0,50.411958,-71.623825
317636.88,4570161.5,1.0,50.427486,-70.19512
321644.81,4570161.5,1.0,50.428268,-70.134208
323648.78,4570161.5,1.0,50.428663,-70.103748
796597.0,4570161.5,1.0,50.59377,-62.798957
798600.94,4570161.5,1.0,50.594787,-62.767329
-2119248.5,4568157.5,1.0,52.038129,-111.364672
-1952915.0,4568157.5,1.0,51.729363,-107.701388
-1950911.0,4568157.5,1.0,51.725957,-107.659084
-149299.2,4568157.5,1.0,50.367373,-77.252499
-145291.27,4568157.5,1.0,50.367015,-77.191973
-143287.3,4568157.5,1.0,50.36684,-77.161711
-141283.33,4568157.5,1.0,50.366668,-77.131451
-139279.09,4568157.5,1.0,50.366498,-77.101187
-137275.14,4568157.5,1.0,50.36633,-77.070929
-135271.17,4568157.5,1.0,50.366165,-77.040672
-133267.2,4568157.5,1.0,50.366002,-77.010417
-129259.0,4568157.5,1.0,50.365683,-76.949904
-127255.04,4568157.5,1.0,50.365528,-76.919652
-121243.14,4568157.5,1.0,50.365076,-76.8289
-119238.91,4568157.5,1.0,50.36493,-76.798647
-107214.84,4568157.5,1.0,50.364106,-76.617172
-97194.75,4568157.5,1.0,50.363487,-76.465967
-95190.78,4568157.5,1.0,50.36337,-76.435729
-93186.81,4568157.5,1.0,50.363256,-76.405492
-19038.21,4568157.5,1.0,50.36074,-75.28709
-17034.24,4568157.5,1.0,50.360718,-75.256871
65130.49,4568157.5,1.0,50.361913,-74.017767
67134.46,4568157.5,1.0,50.361993,-73.987539
89178.88,4568157.5,1.0,50.363035,-73.65498
97194.75,4568157.5,1.0,50.363487,-73.534033
99198.98,4568157.5,1.0,50.363606,-73.503791
101202.95,4568157.5,1.0,50.363727,-73.473551
167335.42,4568157.5,1.0,50.369102,-72.47506
169339.39,4568157.5,1.0,50.369306,-72.444783
171343.36,4568157.5,1.0,50.369513,-72.414504
199399.67,4568157.5,1.0,50.372665,-71.990439
201403.64,4568157.5,1.0,50.372908,-71.960138
207415.81,4568157.5,1.0,50.373653,-71.86922
209419.78,4568157.5,1.0,50.373907,-71.838912
-2121252.25,4566153.5,1.0,52.000935,-111.366586
-1954918.88,4566153.5,1.0,51.692655,-107.706785
-1952915.0,4566153.5,1.0,51.689255,-107.664522
-1950911.0,4566153.5,1.0,51.685861,-107.622295
