x_geos,y_geos,Mask,Temp,Power,lat,lon
-2467947.5,3530076.75,1.0,426.37,152.97216796875,36.046675,-105.466176
-2469951.5,3528072.75,1.0,516.91,436.1587219238281,36.02221,-105.48245
-2471955.5,3526068.75,1.0,562.72,228.05792236328125,35.997757,-105.498729
-2473959.5,3524064.75,1.0,671.72,667.6981811523438,35.973315,-105.515013
-2469951.5,3524064.75,1.0,681.11,154.21316528320312,35.970161,-105.456243
-2473959.5,3522060.75,1.0,537.45,304.86968994140625,35.947306,-105.501913
-2471955.5,3522060.75,1.0,547.72,388.2342834472656,35.945731,-105.472539
-2479971.25,3512040.5,1.0,853.17,275.1338195800781,35.822175,-105.524739
-2477967.25,3512040.5,1.0,454.77,140.8936309814453,35.820606,-105.495409
-2548108.0,3508032.5,1.0,474.71,205.0711669921875,35.824773,-106.503863
-2546104.0,3508032.5,1.0,608.54,525.9720458984375,35.823136,-106.474043
-2544100.0,3508032.5,1.0,784.06,505.00286865234375,35.8215,-106.444239
-2546104.0,3506028.5,1.0,510.92,269.5650939941406,35.797145,-106.460493
-2544100.0,3506028.5,1.0,800.27,341.1334533691406,35.795513,-106.430708
-2485983.75,3498012.5,1.0,1347.88,2283.666748046875,35.645622,-105.521996
-2485983.75,3496008.5,1.0,1185.43,1297.985107421875,35.619782,-105.509122
-2483979.5,3496008.5,1.0,702.32,1530.5821533203125,35.618228,-105.479886
-2481975.5,3496008.5,1.0,690.72,1110.4688720703125,35.616676,-105.450668
-2479971.25,3496008.5,1.0,564.04,215.79632568359375,35.615125,-105.421462
-2483979.5,3494004.5,1.0,1471.48,260.0099792480469,35.592405,-105.467055
-2481975.5,3494004.5,1.0,490.92,203.11448669433594,35.590855,-105.437855
-956918.25,3141297.25,1.0,668.59,76.3309097290039,30.679746,-85.357605
-2986988.0,3133281.25,1.0,546.19,386.2178649902344,31.493701,-110.607523
-2988992.0,3131277.25,1.0,535.2,392.3474426269531,31.471089,-110.625
-2986988.0,3131277.25,1.0,585.14,395.6080017089844,31.469465,-110.594738
-2990996.0,3129273.25,1.0,598.1,445.5920104980469,31.448485,-110.642485
-2988992.0,3129273.25,1.0,574.48,329.4281921386719,31.446861,-110.612222
-2990996.0,3127269.5,1.0,484.44,223.32650756835938,31.424268,-110.629715
-2993000.0,3125265.25,1.0,463.78,132.0677490234375,31.401677,-110.647213
-2990996.0,3125265.25,1.0,425.93,136.26036071777344,31.400056,-110.616964
-2954923.5,3053120.5,1.0,468.18,59.88462448120117,30.508344,-109.642356
-2437887.0,2886787.0,1.0,420.93,55.094322204589844,28.275325,-101.897474
-2896807.25,2844702.75,1.0,908.44,914.1039428710938,28.049033,-107.730219
-2898811.25,2842698.75,1.0,676.72,908.7401123046875,28.027486,-107.748321
-2896807.25,2842698.75,1.0,611.29,762.8974609375,28.026252,-107.720826
-2894803.0,2842698.75,1.0,402.03,102.33809661865234,28.02502,-107.693341
-2898811.25,2840694.75,1.0,468.62,163.02772521972656,28.004711,-107.738931
-2437887.0,2762538.0,1.0,579.7,38.203208923339844,26.888573,-101.463175
-2940895.5,2578168.25,1.0,575.58,50.348106384277344,25.10851,-107.183085
-2940895.5,2576164.25,1.0,555.58,48.35641098022461,25.086669,-107.175293
-2209429.0,2568148.5,1.0,552.39,43.916744232177734,24.689908,-98.185505
-2211433.25,2566144.5,1.0,715.94,116.85186767578125,24.669194,-98.20356
-2912839.25,2506024.0,1.0,762.97,46.49757766723633,24.312433,-106.54615
-2916847.25,2498007.75,1.0,503.5,110.64607238769531,24.228059,-106.569018
-2590192.5,2465943.5,1.0,552.56,61.73588180541992,23.74138,-102.391405
-2253517.5,2419851.25,1.0,464.22,48.222660064697266,23.136046,-98.332799
-2489991.75,2415843.0,1.0,495.04,32.56871795654297,23.173823,-101.058386
-572146.94,2359730.75,1.0,1027.49,126.96736145019531,22.211573,-80.648269
-572146.94,2357726.75,1.0,795.76,117.064208984375,22.191113,-80.647292
-2782578.25,2349710.5,1.0,605.74,46.53037643432617,22.590788,-104.39077
-942890.25,2345702.5,1.0,468.07,63.25168991088867,22.101135,-84.339918
-2367746.5,2321654.25,1.0,676.44,26.823074340820312,22.148275,-99.408173
-2768550.0,2313638.25,1.0,467.79,35.966407775878906,22.206883,-104.113357
-2243497.5,2285581.75,1.0,403.57,19.398160934448242,21.737802,-97.925021
-2624260.5,2271553.75,1.0,461.25,38.294734954833984,21.714503,-102.266221
-1283573.25,2235481.5,1.0,710.94,68.76581573486328,21.023965,-87.67631
-1367742.0,2227465.5,1.0,644.96,34.04438781738281,20.955324,-88.523689
-1285577.25,2219449.25,1.0,423.35,30.44846534729004,20.862147,-87.680039
-2832678.5,2217445.5,1.0,474.55,91.57601165771484,21.230664,-104.623834
-1377762.0,2215441.5,1.0,568.49,100.91726684570312,20.835258,-88.612503
-2734481.75,2207425.25,1.0,460.27,99.47826385498047,21.090479,-103.410955
-2734481.75,2205421.25,1.0,473.12,122.84561157226562,21.069799,-103.405737
-1307621.38,2205421.25,1.0,572.01,77.12033081054688,20.723668,-87.888914
-2616244.75,2203417.0,1.0,437.36,39.485321044921875,21.007932,-102.001617
-1347701.75,2191393.0,1.0,543.99,59.17549514770508,20.588029,-88.28067
-1447902.62,2177365.0,1.0,902.51,61.148048400878906,20.461956,-89.28517
-1445898.5,2177365.0,1.0,567.5,93.92156219482422,20.46164,-89.26471
-2840694.75,2175361.0,1.0,418.79,70.44606018066406,20.79883,-104.606233
-2710433.5,2175361.0,1.0,467.3,59.29814147949219,20.751722,-103.042494
-2708429.5,2175361.0,1.0,639.03,138.44346618652344,20.751024,-103.018724
-2710433.5,2173357.0,1.0,567.5,160.456298828125,20.731129,-103.037468
-2708429.5,2173357.0,1.0,839.22,449.1473388671875,20.730432,-103.013704
-1325657.62,2173357.0,1.0,514.6,21.92608642578125,20.403241,-88.038386
-1343693.5,2165341.0,1.0,745.94,173.69583129882812,20.325231,-88.212641
-1349705.75,2163337.0,1.0,445.76,75.12681579589844,20.305958,-88.271431
-1319645.5,2159328.75,1.0,630.07,132.31239318847656,20.261399,-87.963244
-2754521.75,2145300.75,1.0,544.59,170.96319580078125,20.458543,-103.491116
-2752518.0,2145300.75,1.0,1002.71,558.3168334960938,20.457842,-103.467247
-2750514.0,2145300.75,1.0,838.83,153.08786010742188,20.457142,-103.443383
-1387782.12,2113236.5,1.0,465.98,65.24242401123047,19.809145,-88.604551
-2644300.75,2107224.25,1.0,480.65,58.46400833129883,20.032489,-102.101743
-2746505.75,2105220.25,1.0,716.98,77.50543212890625,20.045754,-103.296806
-1560127.5,2065140.0,1.0,494.55,138.85601806640625,19.354975,-90.302129
-2161332.75,2063136.0,1.0,479.11,55.48711395263672,19.453047,-96.603526
-1576159.62,2063136.0,1.0,540.47,59.3472785949707,19.337561,-90.463454
-1560127.5,2063136.0,1.0,567.17,190.01466369628906,19.334991,-90.299838
-1558123.5,2063136.0,1.0,475.81,64.10758209228516,19.334672,-90.279401
-2710433.5,2061132.0,1.0,672.54,127.36973571777344,19.585057,-102.767702
-2708429.5,2061132.0,1.0,638.15,115.19171905517578,19.584412,-102.744239
-1576159.62,2061132.0,1.0,428.95,57.665897369384766,19.317577,-90.46114
-1606219.88,2047103.75,1.0,1371.72,143.986083984375,19.182645,-90.751977
-1604215.88,2047103.75,1.0,912.5,220.09902954101562,19.182319,-90.731491
-1604215.88,2045099.75,1.0,658.53,63.2727165222168,19.16236,-90.729157
-1385777.88,2045099.75,1.0,660.84,25.980064392089844,19.129566,-88.515319
-1550107.38,2037083.62,1.0,457.74,30.879465103149414,19.07398,-90.168415
-2516043.75,2035079.62,1.0,460.76,35.8963737487793,19.262636,-100.474037
-2538088.0,2025059.62,1.0,619.36,86.91012573242188,19.1679,-100.703486
-2530072.0,2021051.62,1.0,536.35,59.22422790527344,19.125238,-100.604478
-2151312.75,2021051.62,1.0,560.42,23.18067741394043,19.028698,-96.425628
-1391790.12,2011031.5,1.0,700.94,67.54607391357422,18.79239,-88.542386
-1389786.12,2011031.5,1.0,520.42,86.45252227783203,18.792119,-88.522282
-1391790.12,2009027.62,1.0,611.95,122.6553726196289,18.772542,-88.540447
-1389786.12,2009027.62,1.0,621.18,114.66323852539062,18.772271,-88.520346
-2600212.5,2005019.38,1.0,430.0,41.198543548583984,18.983935,-101.369759
-2538088.0,1988987.38,1.0,457.79,50.1674919128418,18.805009,-100.630975
-2145300.5,1978967.25,1.0,578.54,27.19580841064453,18.607094,-96.293741
-1389786.12,1976963.38,1.0,687.59,117.40800476074219,18.455186,-88.489746
-1419846.25,1966943.25,1.0,781.81,57.10918426513672,18.360281,-88.781174
-1417842.25,1966943.25,1.0,627.88,67.45465850830078,18.360012,-88.761098
-2694401.25,1962935.0,1.0,572.89,70.9714126586914,18.588384,-102.364063
-1626260.12,1956923.12,1.0,504.82,34.24895477294922,18.291278,-90.853671
-1870750.25,1954919.12,1.0,630.29,34.519081115722656,18.312841,-93.363265
-1469946.75,1950911.0,1.0,705.01,227.29837036132812,18.20898,-89.268103
-1467942.75,1950911.0,1.0,460.32,65.33702087402344,18.208703,-89.247981
-2089188.12,1948907.0,1.0,455.49,30.533185958862305,18.29602,-95.649042
-1594195.88,1948907.0,1.0,414.12,34.39574432373047,18.207202,-90.519419
-1391790.12,1948907.0,1.0,591.78,32.36094284057617,18.17875,-88.48356
-1626260.12,1944899.12,1.0,476.36,42.11421585083008,18.17255,-90.840396
-2385782.75,1942894.88,1.0,409.78,40.54502868652344,18.303794,-98.845695
-1742493.0,1938886.88,1.0,599.04,46.49479293823242,18.131847,-92.01969
-1740489.12,1938886.88,1.0,512.18,47.97502517700195,18.131513,-91.999145
-2009027.5,1934879.0,1.0,604.31,30.008010864257812,18.140623,-94.781489
-1990991.25,1930870.75,1.0,590.36,61.88408660888672,18.0974,-94.586412
-1938886.75,1930870.75,1.0,499.82,54.04047775268555,18.087433,-94.041047
-2431875.0,1926862.88,1.0,540.09,30.763446807861328,18.155496,-99.326169
-1766541.25,1926862.88,1.0,613.32,49.622718811035156,18.017165,-92.252116
-1578163.75,1926862.88,1.0,680.4,75.4261474609375,17.987483,-90.33374
-1576159.62,1926862.88,1.0,781.37,65.22498321533203,17.987188,-90.313489
-1419846.25,1926862.88,1.0,569.7,36.409278869628906,17.965462,-88.743299
-2043095.62,1924858.88,1.0,483.45,44.050655364990234,18.048152,-95.126197
-1824657.75,1924858.88,1.0,966.34,65.62127685546875,18.007324,-92.84783
-1824657.75,1922854.62,1.0,734.45,50.906028747558594,17.987538,-92.84535
-1790589.62,1912834.88,1.0,474.16,40.72029495239258,17.882849,-92.482338
-2053115.75,1910830.62,1.0,560.85,51.35674285888672,17.91133,-95.212009
-1578163.75,1910830.62,1.0,573.71,89.09083557128906,17.829707,-90.317033
-1576159.62,1910830.62,1.0,589.7,97.93671417236328,17.829415,-90.296806
-2532076.0,1908826.62,1.0,463.51,56.09969711303711,18.001513,-100.409282
-1854718.12,1906822.62,1.0,603.27,34.86841583251953,17.834612,-93.135839
-1852714.12,1906822.62,1.0,1027.87,85.15583801269531,17.834261,-93.115132
-2055119.88,1894798.62,1.0,511.52,27.813186645507812,17.753278,-95.210589
