x_geos,y_geos,Dust,lat,lon
235472.12,3840699.5,1.0,39.207194,-72.146798
237476.09,3840699.5,1.0,39.207338,-72.12248
-3403823.5,3628273.75,1.0,38.519171,-123.181774
-3401819.5,3628273.75,1.0,38.515431,-123.13529
-3401819.5,3626269.75,1.0,38.486138,-123.103413
-1399806.12,3087189.0,1.0,30.161264,-90.199675
-1397802.12,3087189.0,1.0,30.160722,-90.177029
-1395798.12,3087189.0,1.0,30.160181,-90.154388
-1405818.25,3083180.75,1.0,30.117124,-90.259135
-1403814.12,3083180.75,1.0,30.116581,-90.23649
-333668.88,2920855.5,1.0,28.13296,-78.482373
-391785.47,2860735.0,1.0,27.477943,-79.061518
-391785.47,2858731.0,1.0,27.4561,-79.060573
-944894.19,2616244.75,1.0,24.910235,-84.601221
-942890.25,2616244.75,1.0,24.909972,-84.580541
-944894.19,2614240.75,1.0,24.889074,-84.599261
-942890.25,2614240.75,1.0,24.888812,-84.578586
-940886.25,2614240.75,1.0,24.88855,-84.557911
-946898.19,2612236.75,1.0,24.868181,-84.617979
-944894.19,2612236.75,1.0,24.867919,-84.597305
-942890.25,2612236.75,1.0,24.867657,-84.576633
-940886.25,2612236.75,1.0,24.867395,-84.555964
-938882.06,2612236.75,1.0,24.867135,-84.535294
-936878.06,2612236.75,1.0,24.866874,-84.514628
-934874.12,2612236.75,1.0,24.866615,-84.493965
-948902.12,2610232.75,1.0,24.847294,-84.636691
-946898.19,2610232.75,1.0,24.847031,-84.61602
-944894.19,2610232.75,1.0,24.846769,-84.595351
-942890.25,2610232.75,1.0,24.846507,-84.574684
-940886.25,2610232.75,1.0,24.846246,-84.554018
-938882.06,2610232.75,1.0,24.845986,-84.533353
-936878.06,2610232.75,1.0,24.845726,-84.512692
-934874.12,2610232.75,1.0,24.845467,-84.492033
-932870.12,2610232.75,1.0,24.845208,-84.471376
-930866.19,2610232.75,1.0,24.84495,-84.450721
-948902.12,2608228.75,1.0,24.826149,-84.634732
-946898.19,2608228.75,1.0,24.825887,-84.614065
-944894.19,2608228.75,1.0,24.825625,-84.5934
-942890.25,2608228.75,1.0,24.825363,-84.572737
-940886.25,2608228.75,1.0,24.825103,-84.552076
-938882.06,2608228.75,1.0,24.824843,-84.531415
-936878.06,2608228.75,1.0,24.824583,-84.510758
-934874.12,2608228.75,1.0,24.824324,-84.490104
-932870.12,2608228.75,1.0,24.824066,-84.469451
-930866.19,2608228.75,1.0,24.823808,-84.4488
-948902.12,2606225.0,1.0,24.805013,-84.632775
-946898.19,2606225.0,1.0,24.80475,-84.612112
-944894.19,2606225.0,1.0,24.804489,-84.591451
-942890.25,2606225.0,1.0,24.804228,-84.570793
-940886.25,2606225.0,1.0,24.803968,-84.550136
-938882.06,2606225.0,1.0,24.803708,-84.52948
-936878.06,2606225.0,1.0,24.803449,-84.508827
-934874.12,2606225.0,1.0,24.80319,-84.488177
-932870.12,2606225.0,1.0,24.802932,-84.467529
-952910.31,2604220.75,1.0,24.784402,-84.672146
-948902.12,2604220.75,1.0,24.783876,-84.63082
-946898.19,2604220.75,1.0,24.783615,-84.610162
-944894.19,2604220.75,1.0,24.783353,-84.589506
