x_geos,y_geos,Dust,lat,lon
688379.88,4241503.0,1.0,45.040071,-65.686639
690383.88,4241503.0,1.0,45.040675,-65.659078
692388.12,4241503.0,1.0,45.041282,-65.63151
121243.14,3824667.25,1.0,38.986555,-73.536793
123247.1,3824667.25,1.0,38.986629,-73.512599
123247.1,3822663.25,1.0,38.959893,-73.513242
125251.07,3822663.25,1.0,38.959968,-73.489057
-1407822.25,3085185.0,1.0,30.140552,-90.286038
-1407822.25,3083180.75,1.0,30.117668,-90.281783
-1405818.25,3083180.75,1.0,30.117124,-90.259135
-1385777.88,3083180.75,1.0,30.111732,-90.032875
-351705.09,2910835.25,1.0,28.02381,-78.666618
-349701.12,2910835.25,1.0,28.023696,-78.645679
-351705.09,2908831.25,1.0,28.001799,-78.665739
-349701.12,2908831.25,1.0,28.001685,-78.644805
-347696.88,2908831.25,1.0,28.001572,-78.623869
-393789.44,2894803.25,1.0,27.850446,-79.098709
-391785.47,2894803.25,1.0,27.850319,-79.077792
-389781.5,2894803.25,1.0,27.850192,-79.056876
-391785.47,2892799.25,1.0,27.82836,-79.076823
-389781.5,2892799.25,1.0,27.828234,-79.055912
-369741.31,2892799.25,1.0,27.827008,-78.846845
-367737.09,2892799.25,1.0,27.826889,-78.825941
-369741.31,2890795.0,1.0,27.805055,-78.845932
-367737.09,2890795.0,1.0,27.804937,-78.825033
-365733.12,2890795.0,1.0,27.804818,-78.804138
-369741.31,2888791.0,1.0,27.783112,-78.845022
-367737.09,2888791.0,1.0,27.782993,-78.824128
-371745.28,2886787.0,1.0,27.761295,-78.865
-369741.31,2886787.0,1.0,27.761176,-78.844112
-367737.09,2886787.0,1.0,27.761057,-78.823223
-371745.28,2884783.0,1.0,27.739365,-78.864087
-369741.31,2884783.0,1.0,27.739246,-78.843204
-367737.09,2884783.0,1.0,27.739127,-78.82232
-365733.12,2884783.0,1.0,27.73901,-78.801439
-371745.28,2882779.25,1.0,27.717445,-78.863175
-369741.31,2882779.25,1.0,27.717326,-78.842297
-367737.09,2882779.25,1.0,27.717208,-78.821418
-401805.56,2870754.75,1.0,27.587891,-79.170562
-379761.41,2860735.0,1.0,27.477211,-78.936536
-381765.38,2858731.0,1.0,27.455489,-78.956443
-379761.41,2858731.0,1.0,27.455368,-78.93562
-387777.28,2856727.0,1.0,27.434017,-79.017983
-385773.31,2856727.0,1.0,27.433895,-78.997162
-383769.34,2856727.0,1.0,27.433773,-78.976343
-381765.38,2856727.0,1.0,27.433652,-78.955524
-379761.41,2856727.0,1.0,27.433532,-78.934706
-389781.5,2854722.75,1.0,27.412307,-79.037869
-387777.28,2854722.75,1.0,27.412184,-79.01705
-385773.31,2854722.75,1.0,27.412062,-78.996235
-383769.34,2854722.75,1.0,27.411941,-78.97542
-381765.38,2854722.75,1.0,27.41182,-78.954606
-379761.41,2854722.75,1.0,27.4117,-78.933793
