x_geos,y_geos,Dust,lat,lon
-3403823.5,3646309.75,1.0,38.784073,-123.473826
-3403823.5,3644305.75,1.0,38.754535,-123.440969
-1397802.12,3087189.0,1.0,30.160722,-90.177029
-1409826.12,3085185.0,1.0,30.141098,-90.308696
-1407822.25,3085185.0,1.0,30.140552,-90.286038
-1405818.25,3085185.0,1.0,30.140007,-90.263383
-1407822.25,3083180.75,1.0,30.117668,-90.281783
-1405818.25,3083180.75,1.0,30.117124,-90.259135
-401805.56,2906827.25,1.0,27.982862,-79.188379
-403809.53,2904823.25,1.0,27.960992,-79.208324
-401805.56,2904823.25,1.0,27.960861,-79.187377
-387777.28,2900815.25,1.0,27.915983,-79.038841
-387777.28,2898811.5,1.0,27.894007,-79.037879
-385773.31,2898811.5,1.0,27.893882,-79.016954
-385773.31,2856727.0,1.0,27.433895,-78.997162
-383769.34,2854722.75,1.0,27.411941,-78.97542
-385773.31,2852718.75,1.0,27.390239,-78.995308
-383769.34,2852718.75,1.0,27.390118,-78.974498
-387777.28,2850715.0,1.0,27.368547,-79.015189
-385773.31,2850715.0,1.0,27.368425,-78.994383
-389781.5,2848710.75,1.0,27.346856,-79.035065
-387777.28,2848710.75,1.0,27.346734,-79.014261
-385773.31,2848710.75,1.0,27.346613,-78.993459
-387777.28,2846706.75,1.0,27.324931,-79.013333
-956918.25,2600212.5,1.0,24.742674,-84.709541
-954914.31,2600212.5,1.0,24.74241,-84.688884
-962930.44,2598208.5,1.0,24.722349,-84.769555
-960926.19,2598208.5,1.0,24.722084,-84.748892
-958922.25,2598208.5,1.0,24.72182,-84.728234
-956918.25,2598208.5,1.0,24.721556,-84.707578
-954914.31,2598208.5,1.0,24.721293,-84.686925
-968942.31,2596204.5,1.0,24.702032,-84.82956
-966938.38,2596204.5,1.0,24.701766,-84.808898
-964934.38,2596204.5,1.0,24.7015,-84.788238
-962930.44,2596204.5,1.0,24.701235,-84.767581
-960926.19,2596204.5,1.0,24.700971,-84.746922
-958922.25,2596204.5,1.0,24.700707,-84.726269
-956918.25,2596204.5,1.0,24.700443,-84.705617
-972950.5,2594200.5,1.0,24.681457,-84.868901
-970946.31,2594200.5,1.0,24.68119,-84.848236
-968942.31,2594200.5,1.0,24.680924,-84.827576
-966938.38,2594200.5,1.0,24.680658,-84.806919
-964934.38,2594200.5,1.0,24.680392,-84.786263
-962930.44,2594200.5,1.0,24.680127,-84.76561
-960926.19,2594200.5,1.0,24.679863,-84.744956
-958922.25,2594200.5,1.0,24.6796,-84.724307
-1007018.75,2592196.5,1.0,24.664978,-85.218428
-970946.31,2592196.5,1.0,24.660087,-84.846251
-968942.31,2592196.5,1.0,24.65982,-84.825595
-966938.38,2592196.5,1.0,24.659555,-84.804942
-964934.38,2592196.5,1.0,24.65929,-84.784291
-962930.44,2592196.5,1.0,24.659025,-84.763642
-1039083.0,2590192.75,1.0,24.648377,-85.547721
